primaryLanguage,description,hasWikiEnabled,stargazerCount,pull_request_files,issue_files,nameWithOwner,owner,issue_files_to_str,pull_request_files_to_str
Ruby,🚀 The easiest way to automate building and releasing your iOS and Android apps,False,36950,['PULL_REQUEST_TEMPLATE.md'],"['BUG_REPORT.md', 'REGRESSION.md']",fastlane/fastlane,fastlane,,
JavaScript,"A fast, simple & powerful blog framework, powered by Node.js.",True,36708,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature-request-improvement.md', 'other.md']",hexojs/hexo,hexojs,,
TypeScript,React Hooks — 👍,True,36625,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",streamich/react-use,streamich,,
Java,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.",True,36415,['PULL_REQUEST_TEMPLATE.md'],"['Bug_report.md', 'Feature_request.md', 'Support_help.md']",PhilJay/MPAndroidChart,PhilJay,,
Rust,"A lightning-fast search engine that fits effortlessly into your apps, websites, and workflow.",False,36256,['pull_request_template.md'],"['bug_report.md', 'sprint_issue.md']",meilisearch/meilisearch,meilisearch,,
TypeScript,"Joplin - an open source note taking and to-do application with synchronisation capabilities for Windows, macOS, Linux, Android and iOS.",False,35696,['PULL_REQUEST_TEMPLATE'],['bug_report.md'],laurent22/joplin,laurent22,,
TypeScript,The communications platform that puts data protection first.,True,35430,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'release.md']",RocketChat/Rocket.Chat,RocketChat,,
SCSS,Beautiful static documentation for your API,True,35144,['PULL_REQUEST_TEMPLATE.md'],['bug.md'],slatedocs/slate,slatedocs,,
Go,simple terminal UI for git commands,True,34728,['pull_request_template.md'],"['bug_report.md', 'discussion.md', 'feature_request.md']",jesseduffield/lazygit,jesseduffield,,
TypeScript,📋 React Hooks for form state management and validation (Web + React Native),False,34681,['pull_request_template.md'],['feature_request.md'],react-hook-form/react-hook-form,react-hook-form,,
TypeScript,":dragon: Lerna is a fast, modern build system for managing and publishing multiple JavaScript/TypeScript packages from the same repository.",False,34532,['PULL_REQUEST_TEMPLATE.md'],"['1-bug.md', '2-feature.md', '3-documentation.md']",lerna/lerna,lerna,,
Java,Dex to Java decompiler,True,34413,['pull_request_template.md'],"['decompilation-error.md', 'feature-request.md']",skylot/jadx,skylot,,
JavaScript,"Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporting Canvas and WebGL rendering.",False,34261,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",photonstorm/phaser,photonstorm,,
Rust,"☄🌌️  The minimal, blazing-fast, and infinitely customizable prompt for any shell!",False,34045,['PULL_REQUEST_TEMPLATE.md'],"['Bug_report.md', 'Feature_request.md']",starship/starship,starship,,
Go,"TiDB is an open-source, cloud-native, distributed, MySQL-Compatible database for elastic scale and real-time analytics. Try AI-powered Chat2Query free at : https://tidbcloud.com/free-trial",True,33989,['pull_request_template.md'],"['bug-report.md', 'enhancement.md', 'feature-request.md']",pingcap/tidb,pingcap,,
JavaScript,Expressive middleware for node.js using ES2017 async functions,True,33965,['PULL_REQUEST_TEMPLATE.md'],"['---bug-report.md', '---feature-request.md']",koajs/koa,koajs,,
Swift,The modern video player for macOS.,True,33173,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",iina/iina,iina,,
JavaScript,:scissors: Modern copy to clipboard. No Flash. Just 3kb gzipped :clipboard:,True,33123,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'documentation.md', 'proposal.md']",zenorocha/clipboard.js,zenorocha,,
Go,"Connect, secure, control, and observe services.",True,32909,['pull_request_template.md'],['feature_request.md'],istio/istio,istio,,
JavaScript,A fancy self-hosted monitoring tool,True,32902,['PULL_REQUEST_TEMPLATE.md'],['security.md'],louislam/uptime-kuma,louislam,,
JavaScript,:black_heart: Create and share beautiful images of your source code,False,32484,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md', 'other.md']",carbon-app/carbon,carbon-app,,
Go,"The fantastic ORM library for Golang, aims to be developer friendly",True,32302,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md', 'question.md']",go-gorm/gorm,go-gorm,,
None,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：,True,32299,['PULL_REQUEST_TEMPLATE.md'],"['recommendation.md', 'sign_up.md']",xitu/gold-miner,xitu,,
Python,The uncompromising Python code formatter,True,32261,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'docs-issue.md', 'feature_request.md', 'style_issue.md']",psf/black,psf,,
Clojure,"The simplest, fastest way to get business intelligence and analytics to everyone in your company :yum:",True,32257,"['PULL_REQUEST_TEMPLATE.md', 'cypress_repro.md']","['feature-or-project-implementation.md', 'feature_request.md']",metabase/metabase,metabase,,
Go,GitHub’s official command line tool,False,32209,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feedback.md', 'submit-a-request.md']",cli/cli,cli,,
C#,"ASP.NET Core is a cross-platform .NET framework for building modern cloud-based web applications on Windows, Mac, or Linux.",True,31634,"['pull_request_template.md', 'servicing.md']","['30_api_proposal.md', '40_design_proposal.md', '50_test_failure.md', '60_analyzer_proposal.md']",dotnet/aspnetcore,dotnet,,
Ruby,API Documentation Browser,False,31397,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'documentation_bug.md', 'feature_request.md']",freeCodeCamp/devdocs,freeCodeCamp,,
Python,A toolkit for developing and comparing reinforcement learning algorithms.,True,31185,['PULL_REQUEST_TEMPLATE.md'],"['bug.md', 'proposal.md', 'question.md']",openai/gym,openai,,
Python,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.,False,30916,['pull_request_template.md'],"['bug_report.md', 'feature_request.md']",mitmproxy/mitmproxy,mitmproxy,,
JavaScript,🤪 A list of funny and tricky JavaScript examples,False,30855,"['new_example.md', 'translation.md']",['new-example.md'],denysdovhan/wtfjs,denysdovhan,,
TypeScript,🐻 Bear necessities for state management in React,True,30451,['pull_request_template.md'],['bug_report.md'],pmndrs/zustand,pmndrs,,
Ruby,Metasploit Framework,True,30163,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'documentation.md', 'feature_suggestion.md', 'module_suggestion.md', 'question.md']",rapid7/metasploit-framework,rapid7,,
TypeScript,Free and source-available fair-code licensed workflow automation tool. Easily automate tasks across different services.,True,30008,['pull_request_template.md'],['bug_report.md'],n8n-io/n8n,n8n-io,,
TypeScript,"Blazing fast, instant realtime GraphQL APIs on your DB with fine grained access control, also trigger webhooks on database events.",True,29700,['PULL_REQUEST_TEMPLATE.md'],"['01_bug_report.md', '02_feature_request.md']",hasura/graphql-engine,hasura,,
JavaScript,A markdown parser and compiler. Built for speed.,False,29642,"['PULL_REQUEST_TEMPLATE.md', 'badges.md']","['Bug_report.md', 'Feature_request.md', 'Proposal.md']",markedjs/marked,markedjs,,
HTML,The most advanced responsive front-end framework in the world. Quickly create prototypes and production code for sites that work on any kind of device.,True,29460,['PULL_REQUEST_TEMPLATE.md'],"['1-bug-report.md', '2-feature-request.md', '3-documentation.md', '4-maintainance.md']",foundation/foundation-sites,foundation,,
Java,🚀一个用来深入学习并实战 Spring Boot 的项目。,True,29376,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",xkcoding/spring-boot-demo,xkcoding,,
JavaScript,":fire: A highly scalable, offline-first foundation with the best developer experience and a focus on performance and best practices.",False,29125,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",react-boilerplate/react-boilerplate,react-boilerplate,,
Python,中文分词 词性标注 命名实体识别 依存句法分析 成分句法分析 语义依存分析 语义角色标注 指代消解 风格转换 语义相似度 新词发现 关键词短语提取 自动摘要 文本分类聚类 拼音简繁转换 自然语言处理,True,28956,['pull_request_template.md'],"['bug_report.md', 'feature_request.md']",hankcs/HanLP,hankcs,,
C++,ClickHouse® is a free analytics DBMS for big data,True,28509,['PULL_REQUEST_TEMPLATE.md'],"['10_question.md', '20_feature-request.md', '30_unexpected-behaviour.md', '35_incomplete_implementation.md', '45_usability-issue.md', '50_build-issue.md', '60_documentation-issue.md', '70_performance-issue.md', '80_backward-compatibility.md', '85_bug-report.md', '90_fuzzing-report.md', '95_sanitizer-report.md', '96_installation-issues.md']",ClickHouse/ClickHouse,ClickHouse,,
JavaScript,"🌟 JavaScript Style Guide, with linter & automatic code fixer",False,28157,['PULL_REQUEST_TEMPLATE.md'],"['BUG_REPORT.md', 'FEATURE_REQUEST.md']",standard/standard,standard,,
Java,Apollo is a reliable configuration management system suitable for microservice configuration management scenarios.,True,28019,['PULL_REQUEST_TEMPLATE.md'],"['bug_report_en.md', 'bug_report_zh.md', 'feature_request_en.md', 'feature_request_zh.md']",apolloconfig/apollo,apolloconfig,,
JavaScript,⚡️ Streaming torrent client for the web,False,27836,['PULL_REQUEST_TEMPLATE.md'],"['BUG_REPORT.md', 'FEATURE_REQUEST.md']",webtorrent/webtorrent,webtorrent,,
JavaScript,"Feature-rich ORM for modern Node.js and TypeScript, it supports PostgreSQL (with JSON and JSONB support), MySQL, MariaDB, SQLite, MS SQL Server, Snowflake, Oracle DB (v6), DB2 and DB2 for IBM i.",False,27826,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",sequelize/sequelize,sequelize,,
Java,快速、简洁、解决大文件内存溢出的java处理Excel工具,True,27661,['pull_request_template.md'],"['bug.md', 'question.md', 'suggest.md']",alibaba/easyexcel,alibaba,,
Rust,Rust / Wasm framework for building client web apps,True,27411,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'documentation.md']",yewstack/yew,yewstack,,
JavaScript,"Fast and low overhead web framework, for Node.js",False,27217,['PULL_REQUEST_TEMPLATE.md'],['security.md'],fastify/fastify,fastify,,
Jinja,Set up a personal VPN in the cloud,False,27214,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",trailofbits/algo,trailofbits,,
C++,Windows Calculator: A simple yet powerful calculator that ships with Windows,False,27068,['pull_request_template.md'],"['bug_report.md', 'feature_request.md', 'localization_suggestion.md']",microsoft/calculator,microsoft,,
TypeScript,A completely customizable framework for building rich text editors. (Currently in beta.),False,26976,['PULL_REQUEST_TEMPLATE.md'],"['bug-core.md', 'bug-platform.md', 'request-feature.md', 'request-improvement.md']",ianstormtaylor/slate,ianstormtaylor,,
JavaScript,"Automated auditing, performance metrics, and best practices for the web.",False,26466,['PULL_REQUEST_TEMPLATE.md'],"['Feature_request.md', 'Other.md']",GoogleChrome/lighthouse,GoogleChrome,,
TypeScript,"Simple, scalable state management.",True,26421,['PULL_REQUEST_TEMPLATE.md'],"['bug.md', 'documentation.md']",mobxjs/mobx,mobxjs,,
Go,Run Kubernetes locally,False,26378,['pull_request_template.md'],"['ar.md', 'es.md', 'fa.md', 'fr.md', 'id.md', 'ja.md', 'ku.md', 'pt-BR.md', 'zh-CN.md']",kubernetes/minikube,kubernetes,,
Go,"Consul is a distributed, highly available, and data center aware solution to connect and configure applications across dynamic, distributed infrastructure.",False,26373,['pull_request_template.md'],"['bug_report.md', 'feature_request.md', 'ui_issues.md']",hashicorp/consul,hashicorp,,
Java,"an easy-to-use dynamic service discovery, configuration and service management platform for building cloud native applications.",True,26265,['PULL_REQUEST_TEMPLATE.md'],"['bug-report.md', 'feature_request.md', 'old-issue-template.md']",alibaba/nacos,alibaba,,
Python,💫 Industrial-strength Natural Language Processing (NLP) in Python,False,26043,['PULL_REQUEST_TEMPLATE.md'],"['01_bugs.md', '02_docs.md']",explosion/spaCy,explosion,,
Go,AI-Powered Photos App for the Decentralized Web 🌈💎✨,False,25827,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature-request.md', 'question.md']",photoprism/photoprism,photoprism,,
JavaScript,⚙️ NGINX config generator on steroids 💉,False,25620,['PULL_REQUEST_TEMPLATE.md'],"['help.md', 'report-a-bug.md', 'request-a-feature.md']",digitalocean/nginxconfig.io,digitalocean,,
Java,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.,True,25503,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md', 'question.md']",alibaba/spring-cloud-alibaba,alibaba,,
Python,Web APIs for Django. 🎸,False,25478,['PULL_REQUEST_TEMPLATE.md'],['1-issue.md'],encode/django-rest-framework,encode,,
Go,Making Docker and Kubernetes management easy.,False,25394,['PULL_REQUEST_TEMPLATE.md'],"['Bug_report.md', 'Custom.md', 'Feature_request.md']",portainer/portainer,portainer,,
Go,"Scalable datastore for metrics, events, and real-time analytics",False,25390,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",influxdata/influxdb,influxdata,,
Rust,Lightning-fast and Powerful Code Editor written in Rust,True,25370,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",lapce/lapce,lapce,,
JavaScript,React components for efficiently rendering large lists and tabular data,True,24911,['PULL_REQUEST_TEMPLATE.md'],"['bug-report.md', 'feature-request.md', 'question.md']",bvaughn/react-virtualized,bvaughn,,
Python,Python packaging and dependency management made easy,False,24910,['PULL_REQUEST_TEMPLATE.md'],"['---bug-report.md', '---documentation.md', '---feature-request.md']",python-poetry/poetry,python-poetry,,
Python,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",False,24723,['pull_request_template.md'],"['bugs.md', 'documentation.md', 'feature-request.md', 'unexpected-problems-bugs.md']",facebookresearch/detectron2,facebookresearch,,
Python,"A Fast, Extensible Progress Bar for Python and CLI",True,24695,['pr.md'],"['bug.md', 'enhancement.md']",tqdm/tqdm,tqdm,,
Rust,A new type of shell,True,24514,['pull_request_template.md'],['standard-library-bug-or-feature-report.md'],nushell/nushell,nushell,,
Python,Streamlit — A faster way to build and share data apps.,True,24467,['pull_request_template.md'],['feature_request.md'],streamlit/streamlit,streamlit,,
JavaScript,A list of semi to fully remote-friendly companies (jobs) in tech.,True,24427,['PULL_REQUEST_TEMPLATE.MD'],"['bug_report.md', 'feature-request--add-a-discussion-.md']",remoteintech/remote-jobs,remoteintech,,
Python,OpenMMLab Detection Toolbox and Benchmark,True,24048,['pull_request_template.md'],"['error-report.md', 'feature_request.md', 'general_questions.md', 'reimplementation_questions.md']",open-mmlab/mmdetection,open-mmlab,,
Go,"The fastest HTTP/2 Go Web Framework. New, modern and easy to learn. Fast development with Code you control. Unbeatable cost-performance ratio :rocket:",False,23922,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'custom.md', 'feature_request.md']",kataras/iris,kataras,,
Python, Python Development Workflow for Humans.,True,23818,['PULL_REQUEST_TEMPLATE.md'],"['Bug_report.md', 'Custom.md', 'Feature_request.md']",pypa/pipenv,pypa,,
JavaScript,"Swagger UI is a collection of HTML, JavaScript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API.",True,23817,['pull_request_template.md'],"['Bug_report.md', 'Feature_request.md', 'Support.md']",swagger-api/swagger-ui,swagger-api,,
Java,":fire: Seata is an easy-to-use, high-performance, open source distributed transaction solution.",True,23695,['PULL_REQUEST_TEMPLATE.md'],"['BUG_REPORT.md', 'FEATURE_REQUEST.md']",seata/seata,seata,,
JavaScript,"A simple HTML5, YouTube and Vimeo player",False,23632,['pull_request_template.md'],"['bug.md', 'feature.md', 'improvement.md']",sampotts/plyr,sampotts,,
Python,The OWASP Cheat Sheet Series was created to provide a concise collection of high value information on specific application security topics.,False,23623,['pull_request_template.md'],"['new_cheatsheet_proposal.md', 'update_cheatsheet_proposal.md']",OWASP/CheatSheetSeries,OWASP,,
TypeScript,Cross-Platform React Native UI Toolkit,False,23605,['PULL_REQUEST_TEMPLATE.md'],['feature-request.md'],react-native-elements/react-native-elements,react-native-elements,,
Rust,A refreshingly simple data-driven game engine built in Rust,False,23597,['pull_request_template.md'],"['bug_report.md', 'docs_improvement.md', 'feature_request.md', 'performance_regression.md']",bevyengine/bevy,bevyengine,,
Java,A private messenger for Android.,True,23589,['PULL_REQUEST_TEMPLATE.md'],['bug_report.md'],signalapp/Signal-Android,signalapp,,
Kotlin,BRVAH:Powerful and flexible RecyclerAdapter,True,23533,['pull_request_template.md'],['bug_report.md'],CymChad/BaseRecyclerViewAdapterHelper,CymChad,,
JavaScript,前端面试每日 3+1，以面试题来驱动学习，提倡每日学习与思考，每天进步一点！每天早上5点纯手工发布面试题（死磕自己，愉悦大家），6000+道前端面试题全面覆盖，HTML/CSS/JavaScript/Vue/React/Nodejs/TypeScript/ECMAScritpt/Webpack/Jquery/小程序/软技能……,True,23466,['PULL_REQUEST_TEMPLATE.md'],"['--------.md', 'angularjs.md', 'css-----.md', 'es6.md', 'html-----.md', 'jquery.md', 'js-----.md', 'nodejs.md', 'other-issue-template.md', 'react.md', 'vue.md', 'wxapp.md']",haizlin/fe-interview,haizlin,,
JavaScript,Next-generation ES module bundler,True,23389,['PULL_REQUEST_TEMPLATE.md'],['SUPPORT.md'],rollup/rollup,rollup,,
JavaScript,🃏 A magical documentation site generator.,True,23380,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",docsifyjs/docsify,docsifyjs,,
TypeScript,✍ It has never been so easy to document your things!,False,23255,['PULL_REQUEST_TEMPLATE.md'],"['---bug-report.md', '---feature-request.md', '---support-question.md']",doczjs/docz,doczjs,,
Python,"Make Your Company Data Driven. Connect to any data source, easily visualize, dashboard and share your data.",False,23098,['PULL_REQUEST_TEMPLATE.md'],"['---bug_report.md', '--anything_else.md']",getredash/redash,getredash,,
Go,Lightweight Kubernetes,True,23000,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'cut_release.md', 'feature_request.md']",k3s-io/k3s,k3s-io,,
C++,Productive & portable high-performance programming in Python.,True,22990,['pull_request_template.md'],"['bug_report.md', 'document.md', 'feature_request.md', 'question.md']",taichi-dev/taichi,taichi-dev,,
JavaScript,"A set of small, responsive CSS modules that you can use in every web project.",False,22982,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",pure-css/pure,pure-css,,
Swift,💧 A server-side Swift HTTP web framework.,False,22776,['pull_request_template.md'],"['bug_report.md', 'feature_request.md']",vapor/vapor,vapor,,
Python,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",True,22751,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",nicolargo/glances,nicolargo,,
PHP,"☁️ Nextcloud server, a safe home for all your data",True,22478,['pull_request_template.md'],['Feature_request.md'],nextcloud/server,nextcloud,,
JavaScript,An alternative side effect model for Redux apps,True,22443,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'custom.md']",redux-saga/redux-saga,redux-saga,,
Python,"This is a fun, new monospaced font that includes programming ligatures and is designed to enhance the modern look and feel of the Windows Terminal.",True,22432,['PULL_REQUEST_TEMPLATE.md'],"['Documentation_Issue.md', 'Feature_Request.md']",microsoft/cascadia-code,microsoft,,
Python,Deezer source separation library including pretrained models.,True,22396,['PULL_REQUEST_TEMPLATE.md'],"['bug.md', 'discussion.md', 'feature.md']",deezer/spleeter,deezer,,
Go,"Learn and understand Docker&Container technologies, with real DevOps practice!",True,22337,['PULL_REQUEST_TEMPLATE.md'],"['Bug_report.md', 'Custom.md', 'Feature_request.md']",yeasy/docker_practice,yeasy,,
C,🎥 Command line video player,True,22259,['PULL_REQUEST_TEMPLATE'],"['1_dont_ignore.md', '2_bug_report_linux.md', '2_bug_report_macos.md', '2_bug_report_windows.md', '3_bug_report.md', '4_bug_report_build.md', '5_feature_request.md', '6_question.md']",mpv-player/mpv,mpv-player,,
JavaScript,OpenZeppelin Contracts is a library for secure smart contract development.,False,22162,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",OpenZeppelin/openzeppelin-contracts,OpenZeppelin,,
Java,A Java serialization/deserialization library to convert Java Objects into JSON and back,False,22085,['pull_request_template.md'],"['bug_report.md', 'feature_request.md']",google/gson,google,,
C#,The Free Software Media System,False,22016,['pull_request_template.md'],"['feature_request.md', 'media_playback.md']",jellyfin/jellyfin,jellyfin,,
JavaScript,"☕️ simple, flexible, fun javascript test framework for node.js & the browser",True,21993,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md', 'support-question.md']",mochajs/mocha,mochajs,,
OCaml,Adds static typing to JavaScript to improve developer productivity and code quality.,True,21973,['pull_request_template.md'],"['bug_report.md', 'discussion.md', 'documentation.md', 'libdef.md', 'question.md']",facebook/flow,facebook,,
C++,Cloud-native high-performance edge/middle/service proxy,True,21965,['PULL_REQUEST_TEMPLATE.md'],"['feature_request.md', 'non--crash-security--bug.md', 'other.md', 'test_flake.md']",envoyproxy/envoy,envoyproxy,,
C,stb single-file public domain libraries for C/C++,False,21955,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",nothings/stb,nothings,,
Python,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,False,21924,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'documentation.md', 'feature_request.md', 'how-to-question.md']",facebookresearch/fairseq,facebookresearch,,
Python,"Investment Research for Everyone, Everywhere.",False,21887,['pull_request_template.md'],"['bug_report.md', 'enhancement.md', 'feature_request.md']",OpenBB-finance/OpenBBTerminal,OpenBB-finance,,
C,TLS/SSL and crypto library,True,21606,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'documentation.md', 'feature_request.md', 'question.md']",openssl/openssl,openssl,,
Python,"Free, open source crypto trading bot",True,21541,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md', 'question.md']",freqtrade/freqtrade,freqtrade,,
Rust,Secure and fast microVMs for serverless computing.,False,21531,['pull_request_template.md'],"['bug_report.md', 'feature_request.md']",firecracker-microvm/firecracker,firecracker-microvm,,
JavaScript,📝 Minimalistic Vue-powered static site generator,True,21492,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",vuejs/vuepress,vuejs,,
JavaScript,JavaScript syntax highlighter with language auto-detection and zero dependencies.,True,21466,['pull_request_template.md'],"['1_incorrect-syntax-highlighting.md', 'bug_report.md', 'feature_request.md', 'z_request_language_repo.md']",highlightjs/highlight.js,highlightjs,,
Python,Distributed Task Queue (development branch),True,21450,['PULL_REQUEST_TEMPLATE.md'],"['Bug-Report.md', 'Documentation-Bug-Report.md', 'Enhancement.md', 'Feature-Request.md', 'Major-Version-Release-Checklist.md', 'Minor-Version-Release-Checklist.md']",celery/celery,celery,,
JavaScript,String validation,True,21239,['pull_request_template.md'],['bug_report.md'],validatorjs/validator.js,validatorjs,,
Go,HTTP load testing tool and library. It's over 9000!,True,21177,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md', 'question.md']",tsenart/vegeta,tsenart,,
Go,"Dapr is a portable, event-driven, runtime for building distributed applications across cloud and edge.",False,21075,['pull_request_template.md'],"['bug_report.md', 'discussion.md', 'feature_request.md', 'proposal.md', 'question.md']",dapr/dapr,dapr,,
TypeScript,:octocat: Browser extension that simplifies the GitHub interface and adds useful features,True,21030,['pull_request_template.md'],['3_discussion.md'],refined-github/refined-github,refined-github,,
Go,Complete container management platform,True,21001,['pull_request_template.md'],"['bug_report.md', 'feature_request.md']",rancher/rancher,rancher,,
TypeScript,Lens - The way the world runs Kubernetes,False,20985,['pull_request_template.md'],"['bug_report.md', 'enhancement.md']",lensapp/lens,lensapp,,
JavaScript,Normalizes nested JSON according to a schema,False,20985,['PULL_REQUEST_TEMPLATE.md'],"['bug.md', 'feature_request.md', 'support_question.md']",paularmstrong/normalizr,paularmstrong,,
Java,"A powerful flow control component enabling reliability, resilience and monitoring for microservices. (面向云原生微服务的高可用流控防护组件)",True,20919,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",alibaba/Sentinel,alibaba,,
C++,📚 Modern C++ Tutorial: C++11/14/17/20 On the Fly | https://changkun.de/modern-cpp/,False,20770,['PULL_REQUEST_TEMPLATE.md'],"['Bug_report.md', 'Feature_request.md', 'Question.md']",changkun/modern-cpp-tutorial,changkun,,
TypeScript,"JHipster is a development platform to quickly generate, develop, & deploy modern web applications & microservice architectures.",False,20551,['PULL_REQUEST_TEMPLATE.md'],"['BUG_REPORT.md', 'FEATURE_REQUEST.md', 'SPONSOR_THE_PROJECT.md', 'SUPPORT_QUESTION.md']",jhipster/generator-jhipster,jhipster,,
Ruby,For empowering community 🌱,True,20543,['PULL_REQUEST_TEMPLATE.md'],"['-core-team-only---new-approved-feature.md', 'bug_report.md']",forem/forem,forem,,
Go,Your ultimate Go microservices framework for the cloud-native era.,False,20531,['pull_request_template.md'],"['bug-report.md', 'feature-request.md', 'proposal.md', 'question.md']",go-kratos/kratos,go-kratos,,
C,🎥 Command line video player,True,22259,['PULL_REQUEST_TEMPLATE'],"['1_dont_ignore.md', '2_bug_report_linux.md', '2_bug_report_macos.md', '2_bug_report_windows.md', '3_bug_report.md', '4_bug_report_build.md', '5_feature_request.md', '6_question.md']",mpv-player/mpv,mpv-player,,
C,stb single-file public domain libraries for C/C++,False,21955,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",nothings/stb,nothings,,
C,TLS/SSL and crypto library,True,21606,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'documentation.md', 'feature_request.md', 'question.md']",openssl/openssl,openssl,,
C,"Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at",False,19641,['PULL_REQUEST_TEMPLATE.md'],['Bug_report.md'],arendst/Tasmota,arendst,,
C,UNIX-like reverse engineering framework and command-line toolset,False,18009,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",radareorg/radare2,radareorg,,
C,Open-source keyboard firmware for Atmel AVR and Arm USB families,False,15003,['PULL_REQUEST_TEMPLATE.md'],['zzz_blank.md'],qmk/qmk_firmware,qmk,,
C,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type. It's boosted by a professional yet affordable drag and drop UI editor, called SquareLine Studio.",False,11913,['pull_request_template.md'],"['bug-report.md', 'dev-discussion.md']",lvgl/lvgl,lvgl,,
C,"A fast, light-weight proxy for memcached and redis",True,11784,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'custom.md', 'feature_request.md']",twitter/twemproxy,twitter,,
Rust,"Build smaller, faster, and more secure desktop applications with a web frontend.",False,63142,['PULL_REQUEST_TEMPLATE.md'],['docs_report.md'],tauri-apps/tauri,tauri-apps,,
JavaScript,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.",True,63033,['PULL_REQUEST_TEMPLATE.md'],"['Bug_report.md', 'Feature_request.md', 'Other.md']",webpack/webpack,webpack,,
Python,The Python micro framework for building web applications.,False,62842,['pull_request_template.md'],"['bug-report.md', 'feature-request.md']",pallets/flask,pallets,,
C++,The Swift Programming Language,False,62569,['PULL_REQUEST_TEMPLATE.md'],"['bug_report.md', 'feature_request.md']",apple/swift,apple,,
JavaScript," Now we have become very big, Different from the original idea. Collect premium software in various categories.",True,60335,['PULL_REQUEST_TEMPLATE.md'],"['Bug_report.md', 'Feature_request.md', 'NEW_ADDITION_TO_LIST.md', 'REMOVE_ITEM_FROM_LIST.md']",jaywcjlove/awesome-mac,jaywcjlove,,
